work_key,title,author,publishers,first_sale_month,active_months,lifetime_net_sales,cum_1m_net_sales,observed_1m,cum_3m_net_sales,observed_3m,cum_6m_net_sales,observed_6m,cum_12m_net_sales,observed_12m,platform_count_12m,top_platform_share_12m
알바트로스|||박재학,알바트로스,박재학,프로무림,2021-02,60,2382002,60910,Y,166292,Y,292927,Y,500179,Y,8,0.4395
암왕불패不|||이유성,암왕불패不,이유성,프로무림,2021-02,30,90110,1645,Y,4818,Y,12702,Y,25096,Y,5,0.3319
암천명조|||설봉,암천명조,설봉,프로무림,2021-02,41,374519,6400,Y,19900,Y,61500,Y,104400,Y,3,0.5211
암흑 제국의 패리어드|||이수영,암흑 제국의 패리어드,이수영,프로무림,2021-02,19,147233,7840,Y,16307,Y,16307,Y,26107,Y,4,0.3243
애검몽|||강태산,애검몽,강태산,프로무림,2021-02,59,802240,10634,Y,48229,Y,141075,Y,255929,Y,10,0.4029
애검몽 본 오뢰를 잊었나요|||강태산,애검몽 본 오뢰를 잊었나요,강태산,프로무림,2021-02,47,150850,7910,Y,16520,Y,24010,Y,40460,Y,1,1.0
야랑|||강태산,야랑,강태산,프로무림,2021-02,60,4693349,51315,Y,411690,Y,691606,Y,1364445,Y,12,0.5144
야망검|||강태산,야망검,강태산,프로무림,2021-02,31,111869,20580,Y,38220,Y,45598,Y,51128,Y,5,0.9255
야망검|||서효원,야망검,서효원,프로무림,2021-02,56,514230,10775,Y,19775,Y,23575,Y,91614,Y,6,0.4353
야망시대|||강태산,야망시대,강태산,프로무림,2021-02,60,903586,37174,Y,79546,Y,155227,Y,316549,Y,16,0.2846
야망시대 화|||강태산,야망시대 화,강태산,프로무림,2021-02,48,92380,4540,Y,9290,Y,15660,Y,24850,Y,2,0.6282
야망의 눈동자|||강산(江山),야망의 눈동자,강산(江山),포텐,2021-02,44,641424,-4844,Y,35336,Y,116816,Y,170995,Y,1,1.0341
야수곡|||검궁인,야수곡,검궁인,프로무림,2021-02,56,212612,6297,Y,14151,Y,32198,Y,59119,Y,6,0.3789
야월|||사마달,야월,사마달,프로무림,2021-02,60,423620,1976,Y,14563,Y,32397,Y,81108,Y,7,0.3914
야접몽|||사마달,야접몽,사마달,프로무림,2021-02,58,347943,3455,Y,22045,Y,78759,Y,116815,Y,9,0.3239
약속|||이원호,약속,이원호,프로무림,2021-02,50,360853,2100,Y,20900,Y,44600,Y,77200,Y,1,1.0
양과 늑대의 요람|||어두운글,양과 늑대의 요람,어두운글,포텐,2021-02,59,63991776,182747,Y,793399,Y,1778882,Y,3654259,Y,9,0.4999
